group,Day,Actinobacteria,Bacteroidia,Flavobacteria,Sphingobacteria,Unclassified Bacteroidetes,Bacilli,Clostridia,Unclassified Firmicutes,Alphaproteobacteria,Betaproteobacteria,Deltaproteobacteria,Gammaproteobacteria,Unclassified Proteobacteria,Others,Unclassified
SA,0,0.001065408,0.213918801,0,0.096077014,0.001141509,0.02009056,0.491343556,0.035767284,0.00125566,0.00121761,3.81E-05,3.81E-05,0.001027358,0.001369811,0.135649328
SA,2,0.010254273,0.072467695,0.020133389,0.073155481,0.001979992,0.327969987,0.166652772,0.069591496,0.007732388,0.117569821,0.000333472,0.020779491,0.003626511,0.003105461,0.10464777
SA,4,0.038035695,0.054037678,0.069075686,0.048198744,0.026275201,0.214112592,0.120276523,0.040404319,0.075933679,0.142530572,0.001900408,0.031398039,0.013275311,0.000963975,0.12358158
SA,6,0.062198345,0.050390715,0.060646978,0.043036084,0.037577568,0.088111928,0.132871754,0.02364399,0.141375546,0.144018616,0.003188922,0.04964376,0.023471616,0.00206849,0.137755688
SA,8,0.056973392,0.047568411,0.084408526,0.043385793,0.041920696,0.041046363,0.165839595,0.019684295,0.174488397,0.093648093,0.005954913,0.042062479,0.025497424,0.000448982,0.15707264
SA,15,0.086630508,0.001324702,0.019495613,0.016521283,0.070409158,0.022919843,0.064585468,0.007398335,0.329075958,0.117723512,0.022969832,0.046339574,0.048589067,0.005898673,0.140118473
SA,22,0.120258551,0.000830767,0.031467823,0.014183822,0.089236505,0.018884746,0.048366834,0.005166964,0.296218998,0.082002756,0.02295753,0.071628303,0.05004863,0.003404117,0.145343654
SA,29,0.179440121,0.003548182,0.029217442,0.02564479,0.074707581,0.049919248,0.038051192,0.007536828,0.246561934,0.069984828,0.019355944,0.052978026,0.033964665,0.002104439,0.16698478
SA,43,0.153132104,0.001326092,0.037193736,0.014587017,0.09838343,0.030563274,0.039845921,0.00252589,0.34907805,0.02810053,0.033215458,0.036120232,0.039845921,6.31E-05,0.136019197
SA,57,0.186891629,0.00043262,0.014396616,0.018290192,0.103588339,0.011848968,0.037589829,0.001610306,0.324368496,0.056937535,0.035883385,0.06186459,0.024779484,0.007186291,0.114331723
SB,0,0.002645602,0.220616932,5.63E-05,0.120815821,0.000394026,0.003396127,0.496772741,0.02352897,0.00125713,0.002120234,1.88E-05,0.000168868,0.000675473,0.001744971,0.125788052
SB,2,0.007296515,0.059588208,0.02723613,0.061789743,0.003228918,0.360045289,0.147502831,0.060992997,0.008344865,0.110307376,0.00041934,0.038537342,0.005409485,0.002914413,0.106386548
SB,4,0.012869888,0.03448743,0.053318109,0.042054537,0.019314509,0.204892493,0.108223181,0.033810068,0.031429622,0.195254592,0.003406166,0.105881442,0.021985253,0.001915968,0.131156742
SB,6,0.033174646,0.019042486,0.061678493,0.031737477,0.018204138,0.06982245,0.063025839,0.01206623,0.074193838,0.257702326,0.004311506,0.129734423,0.058953861,0.000568879,0.165783407
SB,8,0.070924292,0.005341384,0.069577334,0.024082675,0.023385973,0.033163028,0.030840687,0.005480725,0.148815606,0.175150952,0.004621458,0.178146772,0.080771017,0.003669299,0.146028797
SB,15,0.111385673,0.008001506,0.059234679,0.032994446,0.043443472,0.069683705,0.019203615,0.006683611,0.168619976,0.115645298,0.005248047,0.140802975,0.05648122,0.002070978,0.1605008
SB,22,0.135804063,0.00759728,0.064523072,0.035145489,0.035748106,0.036329201,0.016701102,0.00359418,0.164492941,0.131047693,0.006521178,0.15719697,0.064092631,0.003809401,0.137396694
SB,29,0.143546139,0.016057987,0.062698634,0.042821299,0.039252858,0.054167828,0.019403401,0.005492055,0.19729579,0.104990243,0.004237524,0.111904098,0.049316978,0.002090884,0.146724282
SB,43,0.15590215,0.006839915,0.060012634,0.029080532,0.049099266,0.039383972,0.022153484,0.004487333,0.251639184,0.088439672,0.008299388,0.108959418,0.046703117,0.000108916,0.128891019
SB,57,0.197287526,0.006679058,0.053044384,0.027492392,0.042443677,0.052983108,0.032333177,0.005862048,0.259278172,0.066647603,0.00684246,0.094303397,0.030188525,0.002553157,0.122061317
SC,0,0.007465375,0.172784405,4.00E-05,0.085741734,0.000920663,0.02019454,0.53394444,0.03004163,0.002341686,0.008626211,0.000120086,8.01E-05,0.00136098,0.002802017,0.133536146
SC,2,0.023963955,0.072065158,0.020547606,0.055032926,0.001831955,0.312967272,0.272911819,0.066915879,0.010942219,0.059662326,0.000123781,0.013492103,0.001510125,0.005495866,0.08253701
SC,4,0.035110336,0.042693562,0.040014155,0.045170749,0.011020955,0.211673112,0.288668133,0.042769394,0.028790981,0.10550795,0.001036374,0.042491342,0.007178787,0.001162761,0.096711408
SC,6,0.073711044,0.055435875,0.050965819,0.030374838,0.028561683,0.096474221,0.222569295,0.022960649,0.088988223,0.155931351,0.002010628,0.037609507,0.01351788,0.007970702,0.112918282
SC,8,0.050590474,0.074330243,0.036576158,0.036304328,0.029085747,0.038962216,0.293424749,0.026276843,0.094717448,0.09722432,0.002990124,0.037663475,0.015131837,0.002204839,0.164517201
SC,15,0.172747263,0.005745632,0.022675147,0.016362046,0.060104509,0.02083087,0.039249994,0.004965361,0.239566831,0.11148417,0.018111744,0.076655711,0.053791408,0.000378313,0.157331
SC,22,0.183326582,0.004759976,0.023631085,0.022095064,0.101546148,0.007207481,0.034687057,0.001502262,0.21514415,0.0903889,0.032880967,0.09633043,0.048865708,0.000236311,0.13739788
SC,29,0.204757199,0.004852484,0.025744636,0.019374647,0.101672784,0.020186335,0.02526821,0.001905703,0.240330322,0.07515175,0.02193323,0.090909091,0.038784585,0.001164596,0.127964427
SC,43,0.268088733,0.003869987,0.013475847,0.020916358,0.096104674,0.007371404,0.019764576,0.000921425,0.253875746,0.074105641,0.008223722,0.096427173,0.032272926,0,0.104581788
SC,57,0.189737019,0.005944379,0.020668795,0.030247017,0.134578222,0.009011091,0.014892455,0.00077718,0.284637036,0.037976811,0.029133759,0.127835658,0.028440598,0,0.08611998
SD,0,0.003121261,0.137829683,2.60E-05,0.094496176,0.001092441,0.016256568,0.551656869,0.037403111,0.002418977,0.000884357,0.000650263,2.60E-05,0.001170473,0.006996827,0.145970972
SD,2,0.009352559,0.106325835,0.003181013,0.096611364,0.000933351,0.170231814,0.410255433,0.061505933,0.004285796,0.023352826,0.000400008,0.002514334,0.001523839,0.008133488,0.101392407
SD,4,0.060205057,0.043168828,0.03189289,0.039254498,0.011631786,0.216889442,0.254742789,0.04239041,0.047350043,0.119142406,0.001490114,0.025621066,0.005159798,0.002023886,0.099036986
SD,6,0.06066369,0.072901163,0.05655697,0.032082024,0.01835621,0.113610055,0.182542307,0.022821234,0.109200154,0.163965603,0.003004245,0.033625489,0.012099664,0.004216967,0.114354225
SD,8,0.066047709,0.075906605,0.085076067,0.034471664,0.028680425,0.100128694,0.161373351,0.017971228,0.134600359,0.126028405,0.004527279,0.03334559,0.012869421,0.006549616,0.112423588
SD,15,0.175532745,0.003141831,0.01838264,0.020470689,0.035750527,0.016079931,0.070213098,0.004761533,0.312504879,0.089708063,0.032023261,0.06281711,0.032842869,0.001639216,0.124131606
SD,22,0.198964422,0.00277098,0.021257661,0.014704395,0.051758662,0.019963188,0.040553387,0.003256407,0.296515038,0.068566574,0.036487935,0.093262677,0.036528387,0.000788819,0.114621468
SD,29,0.218247924,0.002972535,0.021225372,0.012725397,0.059942023,0.008942171,0.021323638,0.00157225,0.323883457,0.057337985,0.025377094,0.077457869,0.036014347,0.001670515,0.131307424
SD,43,0.267013602,0.001809126,0.011524803,0.009849686,0.040895182,0.010385724,0.024389699,0.001451768,0.353025261,0.044022067,0.02430036,0.073995488,0.025685123,0,0.111652112
SD,57,0.289091677,0.001656105,0.015783692,0.01287706,0.049970427,0.007807351,0.020126743,0.000997043,0.324106464,0.041250528,0.023675539,0.075403464,0.025940008,0,0.111313899
UA,0,0.002435033,0.233104467,0,0.126222506,0.000598778,0.00722526,0.466548242,0.02616662,0.002135643,0.001317313,3.99E-05,0,0.001457028,0.000479023,0.132270169
UA,2,0.010550864,0.10968385,0.050121307,0.105076075,0.005209607,0.274190818,0.110398526,0.036542476,0.010043069,0.158582686,0,0.01419947,0.003930714,0.001655038,0.109815501
UA,4,0.021322289,0.09725418,0.011581531,0.086797566,0.002710027,0.308687426,0.123664161,0.053535818,0.046428389,0.105333129,0,0.01710385,0.007593189,0.003553715,0.114434729
UA,6,0.034271415,0.052694567,0.011568869,0.062885327,0.00275622,0.277362733,0.081344745,0.029701893,0.085442808,0.231486183,0.000253862,0.007543338,0.008268659,0.00137811,0.113041271
UA,8,0.117298753,0.017413119,0.022319782,0.024607098,0.010458939,0.147734819,0.052589833,0.013391869,0.253560097,0.189847266,0.004408618,0.034254409,0.022965395,0.003117391,0.086032613
UA,15,0.229723431,0.013789621,0.015304537,0.026336234,0.009186607,0.091050342,0.028802828,0.007147296,0.259108919,0.130962554,0.010759789,0.033522374,0.02804537,0.000738036,0.115522063
UA,22,0.302133969,0.00716994,0.018982112,0.010985806,0.005152635,0.089150301,0.021169551,0.004909586,0.26414544,0.119409878,0.011301769,0.022287575,0.024572234,0.000631927,0.097997278
UA,29,0.263342462,0.008616659,0.030959856,0.021541647,0.011655868,0.118094984,0.028922584,0.007781711,0.254759201,0.096386347,0.008783648,0.031561018,0.020005344,0.000100194,0.097488478
UA,43,0.297248975,0.000101203,0.013949095,0.004385447,0.053671125,0.067940695,0.026110277,0.003221617,0.327710965,0.078583838,0.010086528,0.013274411,0.01054194,0,0.093173883
UA,57,0.232322182,0.000415826,0.017319168,0.008669979,0.035761066,0.062685822,0.022704119,0.005426534,0.390190656,0.109694991,0.017610246,0.007775953,0.011955008,0.01010458,0.067363869
UB,0,0.00229333,0.22285776,2.70E-05,0.139434492,0.001915605,0.0060436,0.446228146,0.023553853,0.002940859,0.0015109,0.000485646,0.000107921,0.002023527,0.010387438,0.140189942
UB,2,0.012675392,0.166253979,0.042329914,0.098750147,0.000412687,0.278328027,0.182230869,0.058660535,0.004067917,0.057540384,0,0.002122391,0.001827615,5.90E-05,0.094741186
UB,4,0.055104346,0.097810886,0.0236392,0.08033025,0.008686532,0.237521515,0.129598752,0.035122633,0.077049269,0.12876506,0.000215146,0.016862091,0.004894578,0.002716222,0.10168352
UB,6,0.105276932,0.043014846,0.035377807,0.071207651,0.021102969,0.143033879,0.090169395,0.016653978,0.168847545,0.191806243,0.000404454,0.004353826,0.009088314,0.005876475,0.093785687
UB,8,0.124065617,0.003342093,0.067224532,0.051917239,0.056815573,0.117432457,0.06069342,0.012500957,0.22856341,0.147332704,0.006709697,0.006837258,0.01431232,0.000204097,0.102048626
UB,15,0.159492834,0.001830209,0.053450937,0.058500551,0.090826902,0.052414553,0.022271224,0.004101433,0.328665932,0.103616318,0.016030871,0.005181918,0.017750827,2.21E-05,0.08584344
UB,22,0.279506484,0.001871355,0.021498825,0.015340761,0.03890678,0.09378536,0.018430673,0.005614066,0.313016799,0.088171294,0.006984942,0.005396466,0.013273566,0.000348159,0.097854469
UB,29,0.244368197,0.00241363,0.020208235,0.023166115,0.043350686,0.082844297,0.022503549,0.005963086,0.344794132,0.080785613,0.008707998,0.005797444,0.014694747,0.000402272,0.1
UB,43,0.210859066,0.001170789,0.025962242,0.016069077,0.051046393,0.052919655,0.022362066,0.003980682,0.378867262,0.116991073,0.012351822,0.009541929,0.015630031,0.000643934,0.081603981
UB,57,0.346458185,4.74E-05,0.019000237,0.004643449,0.05344705,0.039516702,0.02217484,0.002937692,0.294148306,0.06297086,0.013788202,0.015493959,0.015020137,0.000142146,0.110210851
UC,0,0.001662993,0.180531384,5.80E-05,0.106566887,0.000734811,0.018640987,0.519433809,0.024635495,0.004563561,0.001527633,0.000425417,1.93E-05,0.001914375,0.000947519,0.138337781
UC,2,0.007845208,0.087541961,0.001999019,0.078810395,0.000377173,0.262889903,0.263323653,0.077075397,0.005714178,0.083411911,1.89E-05,0.006317655,0.001980161,0.005902765,0.116791763
UC,4,0.014540545,0.055218661,8.85E-05,0.058007259,0.000221317,0.42661119,0.213084278,0.079342245,0.00601983,0.062942635,0,0.000486898,0.001084455,0.000686084,0.081666076
UC,6,0.171218518,0.009448321,0.001464633,0.011889377,2.87E-05,0.44875219,0.095488355,0.037908159,0.05226731,0.085034893,2.87E-05,0.001809253,0.00186669,0.002096436,0.080698429
UC,8,0.253449885,0.002946521,0.005647498,0.003192064,9.82E-05,0.336639984,0.068211953,0.016770613,0.124736041,0.11845013,0.000589304,0.003658596,0.002627314,0.001031282,0.061950597
UC,15,0.353476186,0.00662435,0.003748828,0.007178155,0.000127801,0.247145778,0.051631592,0.01190679,0.154596575,0.078597597,0.001086308,0.009073869,0.002492119,0.001554912,0.070759138
UC,22,0.385434531,0.002951382,0.002512663,0.002153711,3.99E-05,0.278068041,0.039803773,0.010569138,0.150719898,0.054480916,0.001395924,0.007577873,0.00191441,0.000119651,0.062258206
UC,29,0.335492707,0.002665285,0.003331606,0.00188791,0.000111054,0.31383727,0.037869253,0.011882727,0.160176205,0.049529873,0.000999482,0.00703339,0.00136966,0.000629303,0.073184275
UC,43,0.519090806,0.000235689,0.000791915,0,2.83E-05,0.235575835,0.016828192,0.007626895,0.126517837,0.015989139,0.000254544,0.002215476,0.000801342,0,0.074044046
UC,57,0.527690766,0.000181475,0.000252487,0.000189366,3.95E-05,0.284876794,0.023197279,0.005491601,0.09970096,0.007819219,0,0.001175644,0.000181475,0,0.049203481
UD,0,0.001184001,0.203241203,0,0.105672106,0.001184001,0.016465016,0.498982499,0.02985903,0.002257002,0.003108003,0,3.70E-05,0.001591002,0.001591002,0.134828135
UD,2,0.003105011,0.108675402,0.004657517,0.065453642,0.00260821,0.333850835,0.263429175,0.066881947,0.004533317,0.044960566,6.21E-05,0.006272123,0.001366205,0.000186301,0.093957648
UD,4,0.051876279,0.042938367,0.006208779,0.037025244,0.003593359,0.472344781,0.154127814,0.060654992,0.013099841,0.061178076,2.27E-05,0.007982715,0.001114396,0.003729816,0.084102797
UD,6,0.086618712,0.041199797,0.041061465,0.034675151,0.004749389,0.368169871,0.121662747,0.04020842,0.053764928,0.096578595,0,0.009152949,0.005394937,0.009083783,0.087679255
UD,8,0.127274153,0.0574289,0.072067127,0.032204099,0.012233375,0.201354036,0.103826851,0.016546424,0.091854872,0.144996863,0.000235257,0.044019239,0.008861355,0.002012756,0.085084693
UD,15,0.136925287,0.012212644,0.076939655,0.010488506,0.01012931,0.304741379,0.033692529,0.012715517,0.09058908,0.159698276,0.001795977,0.034841954,0.011350575,0,0.10387931
UD,22,0.352598409,0.006052118,0.015305357,0.009303256,0.004401541,0.24208473,0.036537788,0.010128545,0.099134697,0.106262192,0.000500175,0.018756565,0.005727004,0.001150403,0.09205722
UD,29,0.338698579,0.008107704,0.02315632,0.008017951,0.006940912,0.196080778,0.037068063,0.0065819,0.092356021,0.164936425,0.001824981,0.026746447,0.006252805,0.00170531,0.081525804
UD,57,0.427244715,0.008816229,0.027133442,0.00278182,0.005649234,0.202216896,0.01836001,0.002353847,0.107207053,0.121458529,0,0.030386031,0.005734828,0,0.040657365
